;porifera;bryozoa;ascidiacea_c;ascidiacea_s;foraminifera;other_algae;annelida;bivalvia;hydrozoa;prokariotic_biotas;Cirripedia;No_Recruitment;Sediments;CCA
RUNARMS1A;6,338162457;14,38920243;0,793783422;0,752005348;3,321024881;0,183823529;10,72515752;0,971596025;7,011033304;6,828581339;0;9,264739706;20,55490286;18,86598718
RUNARMS1B;7,82632308;6,998840076;0,646141779;0,714285714;2,979690315;0;9,085349761;2,939652989;6,011928685;6,857838512;0;20,49467854;16,36635484;19,07891571
RUNARMS1C;11,8775113;7,034031028;2,028220088;0,367647059;4,335471431;0,706498389;11,37490585;0;3,146616237;13,28272412;0;5,730625584;18,64906857;21,46668035
RUNARMS2A;5,354791315;3,10544296;2,269976978;0,168918919;4,328677369;0,542909471;12,61963269;2,036998756;4,078553884;12,20592101;0;12,05024885;14,55143668;26,68649112
RUNARMS2B;4,960633957;8,42211179;0,168918919;0,694444444;7,480922844;0,164473684;10,79739811;0,263420586;2,894247463;8,498983234;0;11,5996776;14,98891115;29,06585621
RUNARMS2C;3,656248248;4,975538804;2,289850172;0,63876989;7,25326317;0,301162132;11,76883712;0,942330016;5,690729182;7,841418993;0;10,94515071;17,2101701;26,48653146
RUNARMS3A;4,210737746;5,512373619;6,802406549;0,35218254;14,51247375;0,456182065;17,56340979;0,385869565;2,612120948;7,650156943;0;8,375373922;12,16110723;19,40560534
RUNARMS3B;5,575956712;9,739142202;1,413755376;0,164473684;10,43722556;0,802901729;12,50091728;0,810307018;3,779289281;7,87194887;0;9,40977459;12,93176495;24,56254275
RUNARMS3C;13,48459801;9,439308169;3,914808132;0,460069444;1,925312025;0,279990045;14,71214203;2,83096063;10,316853;2,744232263;0;11,70037715;12,2563798;15,93496929
RUNARMS4A;3,942007717;15,28877726;3,015832787;0,59663096;3,398915396;0,514657444;13,69368667;1,042709574;4,406210642;10,61077303;0;13,6423653;9,469014068;20,37841916
RUNARMS4B;10,64699086;10,98489883;1,150498529;0,526061776;1,632712331;0,51817602;18,04631986;3,216390115;4,423914425;8,403340702;0;10,01705001;14,57834323;15,85530331
RUNARMS4C;5,379253479;10,029974;1,506817733;0,328947368;5,935139462;0,294682018;15,19954382;2,307828711;5,133194955;10,34518281;0;12,32302358;12,74160023;18,47481183
RUNARMS5A;8,629250079;10,8859355;1,875330494;0;5,047077198;0;12,21282426;3,182592977;4,274647718;12,71903514;0;8,651127708;16,15552502;16,3666539
RUNARMS5B;3,629819072;7,273077384;1,53773929;0;3,625128956;0,15625;15,85661708;1,263211382;7,193130503;5,14085498;0;13,57377071;23,04524145;17,70515919
RUNARMS5C;6,380930692;16,05993527;2,248760715;0,576923077;4,19451247;0,473484848;11,92623961;3,906589837;1,956144169;15,96590791;0;8,319989469;12,838415;15,15216693
RUNARMS6A;10,65150575;8,59754087;2,385026927;0;5,609992266;1,678331079;14,6381808;1,386415289;0,569715532;7,264352573;0;10,60546915;9,45619417;27,1572756
RUNARMS6B;10,10416951;7,798282208;1,501847497;0,620972073;3,229426744;0,750417308;15,07602244;2,309015302;2,042480363;9,608764018;0;12,84689688;9,014349963;25,09735569
RUNARMS6C;6,13416918;4,696699422;1,451061959;0,894613199;5,866229257;1,308709134;15,95196356;2,612667631;2,796729506;7,9349907;0;11,75946127;7,762114895;30,83059029
RUNARMS7A;7,746425777;15,46313533;11,51070201;0;6,779742238;0,298611111;12,33308288;3,192608516;4,18990281;3,929251361;0;9,6418839;8,787829016;16,12682505
RUNARMS7B;6,308921723;10,87555574;9,165181301;2,488153561;7,292080918;0,12755102;13,30602193;3,17315563;4,843559853;4,386691043;0,255102041;9,754934693;11,71915547;16,30393508
RUNARMS7C;6,258070939;17,0193365;13,96037929;1,629870002;4,855911706;0,79942602;9,985908961;0,957631501;5,267551006;5,35707185;0;6,361543595;14,42298379;13,12431484
RUNARMS8A;21,46868136;16,8828139;5,627516681;0,148809524;8,582679677;0,12755102;9,76153583;1,364127754;1,320271192;4,311669049;0,375;8,44860438;4,08945637;17,49128327
RUNARMS8B;5,196050124;37,63759065;8,763908166;1,131578285;4,773954129;0,12755102;8,771156014;1,009444475;2,191037275;1,827251239;0,37755102;8,481015306;7,640265876;12,07164642
RUNARMS8C;7,86664333;9,892671991;10,31889244;1,468253968;11,12318971;0;13,41013129;1,709742275;4,647144923;5,144868596;0;11,44311137;11,06888327;11,90646684
RUNARMS9A;14,3660762;7,163118992;6,328040016;0,76637772;8,079811524;0,320512821;12,21213264;3,667844308;4,93384365;5,964688165;0;9,36035805;10,51863759;16,31855833
RUNARMS9B;8,701441268;31,80199684;4,019416847;1,206723992;5,162184609;1,08579343;13,98251678;1,72843124;3,125429406;4,093004735;0,25;6,885317417;5,991564285;11,96617915
RUNARMS9C;7,156765111;19,63891952;5,690481596;0,5967463;7,603057481;0,15625;9,852578139;1,205647374;4,720666779;4,863931213;0;4,56961131;13,9976561;19,94768908
